from_state,to_state,beta_1,beta_2
1,2,0.818558931350708,2.4046578407287598
1,3,31.3648681640625,3.199810743331909
1,4,0.8770530223846436,4.247557640075684
2,1,-0.17814511060714722,0.19023554027080536
2,3,1.9663612842559814,2.653337001800537
2,4,0.38374075293540955,1.6636015176773071
3,1,-31.500293731689453,-5.366383075714111
3,2,-0.7676889896392822,0.6256359815597534
3,4,2.5595035552978516,1.1319599151611328
4,1,-1.240360975265503,-5.805312633514404
4,2,-11.220575332641602,-32.30296325683594
4,3,-9.056527137756348,6.179675579071045
