from_state,to_state,beta_1,beta_2
1,2,0.2300976812839508,0.8880833983421326
1,3,39.86145782470703,-26.401575088500977
1,4,9.513405799865723,3.2645838260650635
2,1,1.2788041830062866,-0.9649222493171692
2,3,-0.3258475363254547,-0.24353952705860138
2,4,0.6594550013542175,1.6863375902175903
3,1,-76.94499969482422,16.478307723999023
3,2,-0.6978093981742859,0.7277424335479736
3,4,2.401219606399536,2.069512128829956
4,1,-2.371398448944092,-5.061805725097656
4,2,-34.468997955322266,-77.98897552490234
4,3,-1.9355826377868652,0.41918811202049255
