from_state,to_state,beta_1,beta_2
1,2,0.37028345465660095,-0.03320736810564995
1,3,45.34792709350586,-28.506420135498047
1,4,9.665066719055176,2.6074893474578857
2,1,1.5104111433029175,-1.530137538909912
2,3,-0.9594137668609619,-0.5054529905319214
2,4,0.5708723068237305,1.644798994064331
3,1,-68.95636749267578,15.55427074432373
3,2,-0.0343547947704792,1.5139703750610352
3,4,1.9452561140060425,3.0555307865142822
4,1,-1.9852527379989624,-5.24210786819458
4,2,-33.076438903808594,-75.93241882324219
4,3,-5.8518452644348145,7.023444175720215
