order,state,s_prev,s_curr,mu,sigma
1,1,,1,400.0,21.56116058982746
1,2,,2,534.7949949933958,76.74692724481953
1,3,,3,982.1030387448677,275.01980130271346
1,4,,4,1320.7493028896506,126.3429888981485
