order,state,s_prev,s_curr,mu,sigma
1,1,,1,400.0,25.43766212463379
1,2,,2,545.4783935546875,78.80028533935547
1,3,,3,893.2200927734375,101.27279663085938
1,4,,4,1302.7718505859375,198.50274658203125
