datetime,co2,temperature,humidity,closed_frac
2023-11-01 14:00:00,1770.0,23.1,51.17,1.0
2023-11-01 14:15:00,1675.0,23.2,50.78,
2023-11-01 14:30:00,1609.0,23.2,50.0,1.0
2023-11-01 14:45:00,1500.0,23.2,48.83,
2023-11-01 15:00:00,1561.0,23.2,49.025,1.0
2023-11-01 15:15:00,1618.0,23.3,49.22,
2023-11-01 15:30:00,1543.0,23.3,48.83,1.0
2023-11-01 15:45:00,1529.0,23.3,48.44,
2023-11-01 16:00:00,1477.0,23.25,48.635,1.0
2023-11-01 16:15:00,1423.0,23.1,48.83,
2023-11-01 16:30:00,1454.5,23.0,49.22,1.0
2023-11-01 16:45:00,1446.0,22.9,49.22,
2023-11-01 17:00:00,1420.5,22.8,49.805,1.0
2023-11-01 17:15:00,1395.0,22.7,50.0,
2023-11-01 17:30:00,1349.0,22.65,50.0,1.0
2023-11-01 17:45:00,1331.0,22.6,50.0,
2023-11-01 18:00:00,1372.0,22.5,50.39,1.0
2023-11-01 18:15:00,1287.0,22.5,50.39,
2023-11-01 18:30:00,1293.5,22.4,50.39,1.0
2023-11-01 18:45:00,1285.0,22.4,50.78,
2023-11-01 19:00:00,1265.5,22.3,50.78,1.0
2023-11-01 19:15:00,1263.0,22.3,50.78,
2023-11-01 19:30:00,1254.0,22.2,50.78,1.0
2023-11-01 19:45:00,1249.0,22.2,50.78,
2023-11-01 20:00:00,1227.0,22.2,51.17,1.0
2023-11-01 20:15:00,1266.0,22.1,51.17,
2023-11-01 20:30:00,1180.5,22.1,51.17,1.0
2023-11-01 20:45:00,1205.0,22.1,51.56,
2023-11-01 21:00:00,1163.5,22.1,51.365,1.0
2023-11-01 21:15:00,1142.0,22.1,51.56,
2023-11-01 21:30:00,1182.0,22.0,51.56,1.0
2023-11-01 21:45:00,1163.0,22.0,51.56,
2023-11-01 22:00:00,1150.0,22.0,51.56,1.0
2023-11-01 22:15:00,1131.5,22.0,51.56,
2023-11-01 22:30:00,1149.0,22.0,51.95,1.0
2023-11-01 22:45:00,1146.0,21.95,51.95,
2023-11-01 23:00:00,1121.0,21.9,51.95,1.0
2023-11-01 23:15:00,1104.5,21.9,51.95,
2023-11-01 23:30:00,1132.0,21.9,51.95,1.0
2023-11-01 23:45:00,1066.5,21.9,51.95,
2023-11-02 00:00:00,1058.0,21.9,51.95,1.0
2023-11-02 00:15:00,1089.0,21.9,51.95,
2023-11-02 00:30:00,1075.0,21.9,51.95,1.0
2023-11-02 00:45:00,1049.5,21.8,51.95,
2023-11-02 01:00:00,1017.0,21.8,51.95,1.0
2023-11-02 01:15:00,1032.5,21.8,52.145,
2023-11-02 01:30:00,1102.0,21.8,51.95,1.0
2023-11-02 01:45:00,1000.0,21.8,52.145,
2023-11-02 02:00:00,981.0,21.8,52.34,1.0
2023-11-02 02:15:00,976.5,21.75,52.34,
2023-11-02 02:30:00,979.0,21.7,52.34,1.0
2023-11-02 02:45:00,947.5,21.7,52.34,
2023-11-02 03:00:00,937.0,21.7,52.34,1.0
2023-11-02 03:15:00,933.0,21.7,52.34,
2023-11-02 03:30:00,927.0,21.7,52.34,1.0
2023-11-02 03:45:00,916.5,21.7,52.34,
2023-11-02 04:00:00,920.0,21.7,52.34,1.0
2023-11-02 04:15:00,918.5,21.7,52.34,
2023-11-02 04:30:00,948.0,21.7,52.34,1.0
2023-11-02 04:45:00,892.5,21.65,52.535,
2023-11-02 05:00:00,872.0,21.6,52.73,1.0
2023-11-02 05:15:00,881.5,21.6,52.73,
2023-11-02 05:30:00,846.0,21.6,52.34,1.0
2023-11-02 05:45:00,863.0,21.6,52.535,
2023-11-02 06:00:00,918.0,21.6,52.34,1.0
2023-11-02 06:15:00,834.0,21.6,52.73,
2023-11-02 06:30:00,852.0,21.6,52.73,1.0
2023-11-02 06:45:00,850.0,21.6,52.73,
2023-11-02 07:00:00,822.0,21.6,52.73,1.0
2023-11-02 07:15:00,864.0,21.6,52.73,
2023-11-02 07:30:00,836.5,21.6,52.73,1.0
2023-11-02 07:45:00,802.0,21.6,52.73,
2023-11-02 08:00:00,828.5,21.6,52.535,1.0
2023-11-02 08:15:00,795.0,21.6,52.73,
2023-11-02 08:30:00,834.5,21.6,52.73,1.0
2023-11-02 08:45:00,778.0,21.6,52.73,
2023-11-02 09:00:00,807.0,21.6,52.73,1.0
2023-11-02 09:15:00,795.0,21.6,52.73,
2023-11-02 09:30:00,796.5,21.65,52.73,1.0
2023-11-02 09:45:00,805.0,21.7,52.73,
2023-11-02 10:00:00,793.0,21.7,52.535,1.0
2023-11-02 10:15:00,828.0,21.7,52.73,
2023-11-02 10:30:00,831.5,21.7,52.34,1.0
2023-11-02 10:45:00,777.0,21.7,52.73,
2023-11-02 11:00:00,820.0,21.7,52.535,1.0
2023-11-02 11:15:00,795.0,21.7,52.34,
2023-11-02 11:30:00,802.0,21.7,52.535,1.0
2023-11-02 11:45:00,765.0,21.8,52.34,
2023-11-02 12:00:00,818.0,21.8,52.34,1.0
2023-11-02 12:15:00,750.0,21.8,52.34,
2023-11-02 12:30:00,803.0,21.8,52.34,1.0
2023-11-02 12:45:00,783.0,21.8,52.34,
2023-11-02 13:00:00,821.0,21.8,52.73,1.0
2023-11-02 13:15:00,856.0,21.8,52.34,
2023-11-02 13:30:00,833.5,21.8,52.34,1.0
2023-11-02 13:45:00,804.0,21.8,52.73,
2023-11-02 14:00:00,791.0,21.8,52.535,1.0
2023-11-02 14:15:00,890.0,21.8,52.73,
