datetime,co2,temperature,humidity
2023-11-01 14:00:00,2336.5,24.0,45.505
2023-11-01 14:15:00,2310.0,24.0,45.31
2023-11-01 14:30:00,2479.0,23.9,45.7
2023-11-01 14:45:00,2526.0,23.9,46.09
2023-11-01 15:00:00,2350.5,23.9,45.7
2023-11-01 15:15:00,2365.0,23.9,45.7
2023-11-01 15:30:00,2569.5,23.9,46.68
2023-11-01 15:45:00,2738.0,24.0,47.27
2023-11-01 16:00:00,2817.0,24.0,47.27
2023-11-01 16:15:00,2738.0,24.0,46.88
2023-11-01 16:30:00,2683.5,23.95,46.88
2023-11-01 16:45:00,2643.0,23.9,46.88
2023-11-01 17:00:00,2569.5,23.9,46.88
2023-11-01 17:15:00,2533.0,23.8,46.88
2023-11-01 17:30:00,2503.5,23.8,47.075
2023-11-01 17:45:00,2405.0,23.8,47.27
2023-11-01 18:00:00,2375.0,23.8,47.27
2023-11-01 18:15:00,2372.0,23.8,47.27
2023-11-01 18:30:00,2268.0,23.8,47.27
2023-11-01 18:45:00,2238.0,23.8,47.27
2023-11-01 19:00:00,2157.5,23.75,47.27
2023-11-01 19:15:00,2184.0,23.7,47.66
2023-11-01 19:30:00,2190.5,23.7,47.66
2023-11-01 19:45:00,2176.0,23.7,47.66
2023-11-01 20:00:00,2057.5,23.7,47.66
2023-11-01 20:15:00,2069.0,23.7,47.66
2023-11-01 20:30:00,2074.0,23.7,47.66
2023-11-01 20:45:00,2075.0,23.7,48.05
2023-11-01 21:00:00,2069.5,23.7,48.05
2023-11-01 21:15:00,2047.0,23.7,48.05
2023-11-01 21:30:00,1985.0,23.7,48.05
2023-11-01 21:45:00,1947.0,23.8,48.05
2023-11-01 22:00:00,1942.0,23.85,47.855
2023-11-01 22:15:00,1939.0,23.8,48.05
2023-11-01 22:30:00,1864.0,23.9,48.05
2023-11-01 22:45:00,1895.0,23.9,48.05
2023-11-01 23:00:00,1885.0,23.9,48.05
2023-11-01 23:15:00,1858.0,23.9,48.05
2023-11-01 23:30:00,1904.0,23.9,48.05
2023-11-01 23:45:00,1834.5,23.9,48.05
2023-11-02 00:00:00,1858.0,23.8,48.05
2023-11-02 00:15:00,1807.5,23.8,48.245
2023-11-02 00:30:00,1819.0,23.8,48.44
2023-11-02 00:45:00,1743.5,23.8,48.44
2023-11-02 01:00:00,1763.0,23.8,48.44
2023-11-02 01:15:00,1736.5,23.75,48.44
2023-11-02 01:30:00,1744.0,23.7,48.44
2023-11-02 01:45:00,1674.5,23.7,48.44
2023-11-02 02:00:00,1695.0,23.6,48.44
2023-11-02 02:15:00,1737.0,23.7,48.635
2023-11-02 02:30:00,1655.0,23.7,48.83
2023-11-02 02:45:00,1679.0,23.65,48.83
2023-11-02 03:00:00,1670.0,23.7,48.44
2023-11-02 03:15:00,1668.5,23.7,48.83
2023-11-02 03:30:00,1621.0,23.7,48.44
2023-11-02 03:45:00,1604.0,23.7,48.44
2023-11-02 04:00:00,1539.0,23.7,48.44
2023-11-02 04:15:00,1559.5,23.7,48.44
2023-11-02 04:30:00,1625.0,23.7,48.44
2023-11-02 04:45:00,1491.5,23.75,48.44
2023-11-02 05:00:00,1522.0,23.7,48.44
2023-11-02 05:15:00,1521.0,23.8,48.44
2023-11-02 05:30:00,1517.0,23.8,48.44
2023-11-02 05:45:00,1491.5,23.8,48.44
2023-11-02 06:00:00,1489.0,23.8,48.44
2023-11-02 06:15:00,1496.0,23.8,48.44
2023-11-02 06:30:00,1453.5,23.8,48.44
2023-11-02 06:45:00,1418.0,23.8,48.44
2023-11-02 07:00:00,1423.0,23.8,48.44
2023-11-02 07:15:00,1451.0,23.8,48.44
2023-11-02 07:30:00,1358.5,23.8,48.44
2023-11-02 07:45:00,1359.0,23.9,48.44
2023-11-02 08:00:00,1347.5,23.8,48.44
2023-11-02 08:15:00,1321.0,23.8,48.44
2023-11-02 08:30:00,1281.0,23.8,48.635
2023-11-02 08:45:00,1215.0,23.8,48.83
2023-11-02 09:00:00,1337.5,23.8,48.83
2023-11-02 09:15:00,1324.0,23.8,48.83
2023-11-02 09:30:00,1266.5,23.85,48.83
2023-11-02 09:45:00,1322.0,23.9,48.83
2023-11-02 10:00:00,1278.0,23.9,48.83
2023-11-02 10:15:00,1329.0,23.9,48.83
2023-11-02 10:30:00,1232.5,23.9,48.83
2023-11-02 10:45:00,1228.0,23.9,48.83
2023-11-02 11:00:00,1253.5,23.8,48.83
2023-11-02 11:15:00,1202.0,23.8,48.83
