datetime,motion,light,co2,temperature,humidity
2023-11-01 16:07:40,2.0,50.0,848.0,23.0,37.0
2023-11-01 16:17:40,3.0,50.0,1444.0,23.0,40.0
2023-11-01 16:27:40,0.0,50.0,1005.0,23.0,39.0
2023-11-01 16:37:40,1.0,50.0,963.0,23.1,39.0
2023-11-01 16:47:40,1.0,43.0,1000.0,23.1,39.0
2023-11-01 16:57:40,0.0,50.0,975.0,23.0,39.0
2023-11-01 17:07:40,1.0,50.0,988.0,23.1,39.0
2023-11-01 17:17:40,4.0,50.0,997.0,23.0,39.0
2023-11-01 17:27:40,1.0,50.0,1013.0,23.0,39.0
2023-11-01 17:37:40,1.0,3.0,1017.0,23.0,40.0
2023-11-01 17:47:40,1.0,3.0,991.0,23.0,40.0
2023-11-01 17:57:39,0.0,3.0,977.0,23.0,40.0
2023-11-01 18:07:39,0.0,3.0,944.0,23.0,40.0
2023-11-01 18:17:39,0.0,0.0,846.0,22.9,39.0
2023-11-01 18:27:40,0.0,0.0,747.0,22.8,39.0
2023-11-01 18:37:39,0.0,0.0,731.0,22.8,39.0
2023-11-01 18:47:39,0.0,0.0,701.0,22.8,39.0
2023-11-01 18:57:39,0.0,0.0,674.0,22.8,39.0
2023-11-01 19:07:39,0.0,0.0,728.0,22.8,39.0
2023-11-01 19:17:39,0.0,0.0,722.0,22.7,39.0
2023-11-01 19:27:39,0.0,0.0,714.0,22.7,39.0
2023-11-01 19:37:39,0.0,0.0,690.0,22.7,39.0
2023-11-01 19:47:39,0.0,0.0,683.0,22.7,39.0
2023-11-01 19:57:39,0.0,0.0,659.0,22.7,39.0
2023-11-01 20:07:39,0.0,0.0,649.0,22.7,39.0
2023-11-01 20:17:39,0.0,0.0,643.0,22.7,39.0
2023-11-01 20:27:39,0.0,0.0,639.0,22.7,39.0
2023-11-01 20:37:39,0.0,0.0,628.0,22.7,39.0
2023-11-01 20:47:39,0.0,0.0,616.0,22.7,39.0
2023-11-01 20:57:39,0.0,0.0,606.0,22.7,39.0
2023-11-01 21:07:39,0.0,0.0,600.0,22.6,39.0
2023-11-01 21:17:39,0.0,0.0,591.0,22.7,39.0
2023-11-01 21:27:39,0.0,0.0,583.0,22.7,40.0
2023-11-01 21:37:39,0.0,0.0,583.0,22.7,40.0
2023-11-01 21:47:39,0.0,0.0,582.0,22.7,40.0
2023-11-01 21:57:39,0.0,0.0,584.0,22.7,40.0
2023-11-01 22:07:39,0.0,0.0,564.0,22.6,40.0
2023-11-01 22:17:39,1.0,47.0,597.0,22.7,40.0
2023-11-01 22:27:39,0.0,50.0,569.0,22.7,40.0
2023-11-01 22:37:39,0.0,0.0,583.0,22.6,40.0
2023-11-01 22:47:39,1.0,0.0,593.0,22.6,40.0
2023-11-01 22:57:39,0.0,0.0,577.0,22.7,40.0
2023-11-01 23:07:39,0.0,0.0,582.0,22.6,40.0
2023-11-01 23:17:39,0.0,0.0,580.0,22.6,40.0
2023-11-01 23:27:38,0.0,0.0,563.0,22.6,40.0
2023-11-01 23:37:38,0.0,0.0,560.0,22.6,40.0
2023-11-01 23:47:39,0.0,0.0,553.0,22.6,40.0
2023-11-01 23:57:38,0.0,0.0,564.0,22.6,40.0
2023-11-02 00:07:38,1.0,0.0,572.0,22.6,41.0
2023-11-02 00:17:38,0.0,0.0,556.0,22.6,41.0
2023-11-02 00:27:38,0.0,0.0,553.0,22.6,41.0
2023-11-02 00:37:38,0.0,0.0,548.0,22.6,41.0
2023-11-02 00:47:38,0.0,0.0,548.0,22.5,41.0
2023-11-02 00:57:38,0.0,0.0,548.0,22.6,41.0
2023-11-02 01:07:38,0.0,0.0,544.0,22.6,41.0
2023-11-02 01:17:38,0.0,0.0,513.0,22.6,41.0
2023-11-02 01:27:38,0.0,0.0,548.0,22.5,41.0
2023-11-02 01:37:38,0.0,0.0,547.0,22.6,41.0
2023-11-02 01:47:38,0.0,0.0,541.0,22.5,41.0
2023-11-02 01:57:38,0.0,0.0,531.0,22.5,41.0
2023-11-02 02:07:38,0.0,0.0,512.0,22.6,41.0
2023-11-02 02:17:38,0.0,0.0,536.0,22.6,41.0
2023-11-02 02:27:38,0.0,0.0,520.0,22.6,41.0
2023-11-02 02:37:38,0.0,0.0,511.0,22.5,41.0
2023-11-02 02:47:38,0.0,0.0,509.0,22.5,41.0
2023-11-02 02:57:38,0.0,0.0,505.0,22.6,41.0
2023-11-02 03:07:38,0.0,0.0,516.0,22.5,41.0
2023-11-02 03:17:38,0.0,0.0,502.0,22.5,41.0
2023-11-02 03:27:38,0.0,50.0,516.0,22.5,41.0
2023-11-02 03:37:38,0.0,50.0,521.0,22.6,41.0
2023-11-02 03:47:38,0.0,0.0,510.0,22.5,41.0
2023-11-02 03:57:38,0.0,0.0,515.0,22.5,41.0
2023-11-02 04:07:38,0.0,0.0,508.0,22.5,41.0
2023-11-02 04:17:38,0.0,0.0,497.0,22.5,41.0
2023-11-02 04:27:38,1.0,47.0,509.0,22.5,41.0
2023-11-02 04:37:38,0.0,50.0,489.0,22.6,41.0
2023-11-02 04:47:38,2.0,0.0,479.0,22.5,41.0
2023-11-02 04:57:37,0.0,0.0,513.0,22.5,42.0
2023-11-02 05:07:38,0.0,0.0,525.0,22.5,42.0
2023-11-02 05:17:37,0.0,0.0,507.0,22.5,42.0
2023-11-02 05:27:37,0.0,0.0,515.0,22.6,42.0
2023-11-02 05:37:37,1.0,33.0,508.0,22.6,42.0
2023-11-02 05:47:37,0.0,50.0,498.0,22.5,42.0
2023-11-02 05:57:37,0.0,0.0,492.0,22.5,42.0
2023-11-02 06:07:37,1.0,47.0,478.0,22.6,42.0
2023-11-02 06:17:37,1.0,50.0,489.0,22.6,42.0
2023-11-02 06:27:37,0.0,0.0,482.0,22.5,42.0
2023-11-02 06:37:37,2.0,57.0,480.0,22.5,42.0
2023-11-02 06:47:37,0.0,57.0,498.0,22.5,42.0
2023-11-02 06:57:37,0.0,57.0,502.0,22.5,42.0
2023-11-02 07:07:37,4.0,57.0,533.0,22.6,42.0
2023-11-02 07:17:37,1.0,57.0,611.0,22.5,43.0
2023-11-02 07:27:37,1.0,50.0,549.0,22.6,43.0
2023-11-02 07:37:38,2.0,53.0,543.0,22.6,43.0
2023-11-02 07:47:37,2.0,53.0,558.0,22.6,43.0
2023-11-02 07:57:37,0.0,53.0,576.0,22.7,43.0
2023-11-02 08:07:37,5.0,57.0,730.0,22.6,44.0
2023-11-02 08:17:37,5.0,57.0,575.0,22.5,43.0
2023-11-02 08:27:37,3.0,57.0,587.0,22.5,44.0
2023-11-02 08:37:37,3.0,53.0,519.0,22.4,44.0
2023-11-02 08:47:37,3.0,53.0,539.0,22.4,44.0
2023-11-02 08:57:37,11.0,57.0,511.0,22.4,44.0
2023-11-02 09:07:37,1.0,57.0,520.0,22.4,44.0
2023-11-02 09:17:37,1.0,57.0,519.0,22.5,44.0
2023-11-02 09:27:37,3.0,57.0,554.0,22.5,44.0
2023-11-02 09:37:37,5.0,57.0,555.0,22.5,44.0
2023-11-02 09:47:37,4.0,57.0,600.0,22.4,44.0
2023-11-02 09:57:37,2.0,57.0,627.0,22.5,44.0
2023-11-02 10:07:37,6.0,63.0,642.0,22.5,44.0
2023-11-02 10:17:37,0.0,57.0,603.0,22.5,44.0
2023-11-02 10:27:37,4.0,57.0,625.0,22.6,44.0
2023-11-02 10:37:36,5.0,53.0,629.0,22.5,44.0
2023-11-02 10:47:36,3.0,53.0,601.0,22.5,44.0
2023-11-02 10:57:36,2.0,57.0,859.0,22.6,46.0
2023-11-02 11:07:36,7.0,53.0,934.0,22.6,46.0
2023-11-02 11:17:36,2.0,53.0,919.0,22.6,46.0
2023-11-02 11:27:36,5.0,57.0,914.0,22.6,46.0
2023-11-02 11:37:36,3.0,63.0,867.0,22.6,46.0
