datetime,closed,motor_position,motor_range,trv_temperature,target_temperature,co2,temperature,humidity
2023-11-01 00:00:41,,550.0,550.0,27.1,16.0,,,
2023-11-01 00:02:51,,,,,,1099.0,22.1,54.69
2023-11-01 00:08:18,True,,,,,,,
2023-11-01 00:08:25,True,,,,,,,
2023-11-01 00:10:42,,550.0,550.0,27.1,16.0,,,
2023-11-01 00:12:41,,,,,,1070.0,22.1,54.69
2023-11-01 00:20:43,,550.0,550.0,27.1,16.0,,,
2023-11-01 00:22:48,,,,,,1030.0,22.1,54.69
2023-11-01 00:30:44,,550.0,550.0,27.1,16.0,,,
2023-11-01 00:33:06,,,,,,1082.0,22.1,54.69
2023-11-01 00:38:18,True,,,,,,,
2023-11-01 00:38:24,True,,,,,,,
2023-11-01 00:40:44,,550.0,550.0,27.1,16.0,,,
2023-11-01 00:43:08,,,,,,1092.0,22.1,54.69
2023-11-01 00:50:45,,550.0,550.0,27.1,16.0,,,
2023-11-01 00:53:15,,,,,,1109.0,22.1,54.69
2023-11-01 01:00:46,,550.0,550.0,27.1,16.0,,,
2023-11-01 01:03:21,,,,,,1052.0,22.1,54.69
2023-11-01 01:08:18,True,,,,,,,
2023-11-01 01:08:24,True,,,,,,,
2023-11-01 01:10:47,,550.0,550.0,27.1,16.0,,,
2023-11-01 01:13:11,,,,,,991.0,22.1,54.69
2023-11-01 01:20:48,,550.0,550.0,27.1,16.0,,,
2023-11-01 01:23:34,,,,,,1045.0,22.1,54.69
2023-11-01 01:30:49,,550.0,550.0,27.1,16.0,,,
2023-11-01 01:33:40,,,,,,944.0,22.1,54.3
2023-11-01 01:38:18,True,,,,,,,
2023-11-01 01:38:24,True,,,,,,,
2023-11-01 01:40:50,,550.0,550.0,27.1,16.0,,,
2023-11-01 01:43:47,,,,,,1019.0,22.0,54.3
2023-11-01 01:50:51,,550.0,550.0,27.1,16.0,,,
2023-11-01 01:53:53,,,,,,959.0,22.0,54.3
2023-11-01 02:00:52,,550.0,550.0,27.1,16.0,,,
2023-11-01 02:03:59,,,,,,962.0,22.0,54.3
2023-11-01 02:08:18,True,,,,,,,
2023-11-01 02:08:24,True,,,,,,,
2023-11-01 02:10:53,,550.0,550.0,27.1,16.0,,,
2023-11-01 02:14:06,,,,,,1012.0,22.0,54.3
2023-11-01 02:20:54,,550.0,550.0,27.1,16.0,,,
2023-11-01 02:24:12,,,,,,994.0,22.0,54.3
2023-11-01 02:30:55,,550.0,550.0,27.1,16.0,,,
2023-11-01 02:34:19,,,,,,949.0,22.0,54.3
2023-11-01 02:38:18,True,,,,,,,
2023-11-01 02:38:24,True,,,,,,,
2023-11-01 02:40:56,,550.0,550.0,27.1,16.0,,,
2023-11-01 02:44:25,,,,,,946.0,22.0,54.3
2023-11-01 02:50:57,,550.0,550.0,27.1,16.0,,,
2023-11-01 02:54:31,,,,,,962.0,22.0,54.3
2023-11-01 03:00:58,,550.0,550.0,27.1,16.0,,,
2023-11-01 03:04:38,,,,,,960.0,22.0,54.3
2023-11-01 03:08:17,True,,,,,,,
2023-11-01 03:08:24,True,,,,,,,
2023-11-01 03:10:59,,550.0,550.0,27.1,16.0,,,
2023-11-01 03:14:44,,,,,,884.0,22.0,54.3
2023-11-01 03:21:00,,550.0,550.0,27.1,16.0,,,
2023-11-01 03:24:50,,,,,,879.0,22.0,54.3
2023-11-01 03:31:00,,550.0,550.0,27.1,16.0,,,
2023-11-01 03:34:57,,,,,,916.0,22.0,54.3
2023-11-01 03:38:17,True,,,,,,,
2023-11-01 03:38:23,True,,,,,,,
2023-11-01 03:41:01,,550.0,550.0,27.1,16.0,,,
2023-11-01 03:45:03,,,,,,921.0,22.0,54.3
2023-11-01 03:51:02,,550.0,550.0,27.1,16.0,,,
2023-11-01 03:55:10,,,,,,851.0,22.0,54.3
2023-11-01 04:01:03,,550.0,550.0,27.1,16.0,,,
2023-11-01 04:05:16,,,,,,887.0,22.0,54.3
2023-11-01 04:08:17,True,,,,,,,
2023-11-01 04:08:23,True,,,,,,,
2023-11-01 04:11:04,,550.0,550.0,27.1,16.0,,,
2023-11-01 04:15:22,,,,,,893.0,21.9,54.3
2023-11-01 04:21:05,,550.0,550.0,27.1,16.0,,,
2023-11-01 04:25:29,,,,,,873.0,21.9,53.91
2023-11-01 04:31:06,,550.0,550.0,27.1,16.0,,,
2023-11-01 04:35:35,,,,,,906.0,21.9,54.3
2023-11-01 04:38:17,True,,,,,,,
2023-11-01 04:38:23,True,,,,,,,
2023-11-01 04:41:07,,550.0,550.0,27.1,16.0,,,
2023-11-01 04:45:10,,,,,,906.0,21.9,54.3
2023-11-01 04:51:08,,550.0,550.0,27.1,16.0,,,
2023-11-01 04:55:24,,,,,,851.0,21.9,53.91
2023-11-01 05:01:09,,550.0,550.0,27.1,16.0,,,
2023-11-01 05:05:44,,,,,,868.0,21.9,53.91
2023-11-01 05:08:17,True,,,,,,,
2023-11-01 05:08:23,True,,,,,,,
2023-11-01 05:11:10,,550.0,550.0,27.1,16.0,,,
2023-11-01 05:15:48,,,,,,872.0,21.9,53.91
2023-11-01 05:21:11,,550.0,550.0,27.1,16.0,,,
2023-11-01 05:26:07,,,,,,808.0,21.9,53.91
2023-11-01 05:31:12,,550.0,550.0,27.1,16.0,,,
2023-11-01 05:36:09,,,,,,818.0,21.9,53.91
2023-11-01 05:38:17,True,,,,,,,
2023-11-01 05:38:23,True,,,,,,,
2023-11-01 05:41:13,,550.0,550.0,27.1,16.0,,,
2023-11-01 05:46:11,,,,,,856.0,21.9,53.91
2023-11-01 05:51:14,,550.0,550.0,27.1,16.0,,,
2023-11-01 05:56:14,,,,,,872.0,21.9,53.91
2023-11-01 06:01:15,,550.0,550.0,27.1,16.0,,,
2023-11-01 06:06:15,,,,,,848.0,21.9,53.91
2023-11-01 06:08:16,True,,,,,,,
2023-11-01 06:08:22,True,,,,,,,
2023-11-01 06:11:16,,550.0,550.0,27.1,16.0,,,
2023-11-01 06:16:17,,,,,,826.0,21.9,53.91
