datetime,value,userId
2023-11-22 12:46:14,radio_0_opt_2,96
2023-11-22 12:46:14,radio_0_opt_2,96
2023-11-22 12:46:14,radio_0_opt_2,96
2023-11-22 12:46:14,radio_0_opt_2,96
2023-11-23 15:20:36,radio_0_opt_1,90
2023-11-23 15:20:37,radio_0_opt_1,90
2023-11-28 12:02:43,radio_0_opt_2,96
2023-11-28 13:24:07,radio_0_opt_2,96
2023-11-28 13:24:08,radio_0_opt_2,96
2023-11-28 13:24:08,radio_0_opt_2,96
2023-11-28 13:24:08,radio_0_opt_2,96
2023-11-28 13:24:08,radio_0_opt_2,96
2023-11-28 13:24:08,radio_0_opt_2,96
2023-11-30 12:58:47,radio_0_opt_2,96
2023-12-01 12:00:35,radio_0_opt_1,96
2023-12-04 15:11:04,radio_0_opt_1,90
2023-12-08 11:13:03,radio_0_opt_0,96
2023-12-08 13:45:21,radio_0_opt_0,96
2023-12-08 14:19:15,radio_0_opt_2,96
2023-12-11 12:03:05,radio_0_opt_0,96
2023-12-12 12:31:32,radio_0_opt_1,90
2023-12-12 17:00:49,radio_0_opt_2,90
2023-12-13 13:27:24,radio_0_opt_1,90
2023-12-14 12:36:24,radio_0_opt_2,96
2023-12-14 15:09:53,radio_0_opt_2,96
2023-12-15 10:39:25,radio_0_opt_2,90
2023-12-15 12:23:14,radio_0_opt_0,96
2024-01-08 10:28:42,radio_0_opt_2,96
2024-01-08 14:25:43,radio_0_opt_1,96
2024-01-10 10:47:15,radio_0_opt_2,96
2024-01-10 15:35:09,radio_0_opt_1,96
2024-01-11 11:39:34,radio_0_opt_1,96
2024-01-16 12:40:06,radio_0_opt_2,96
2024-01-16 13:52:02,radio_0_opt_2,96
2024-01-18 11:58:30,radio_0_opt_1,96
2024-01-22 13:33:32,radio_0_opt_0,96
2024-01-22 14:47:07,radio_0_opt_2,96
2024-01-23 10:57:31,radio_0_opt_3,90
2024-01-23 14:20:20,radio_0_opt_1,90
2024-01-24 08:37:18,radio_0_opt_1,90
2024-01-29 09:20:32,radio_0_opt_2,90
2024-02-01 11:09:28,radio_0_opt_1,90
2024-02-02 10:21:38,radio_0_opt_3,90
2024-02-06 10:44:09,radio_0_opt_2,90
