datetime,value,userId
2023-11-01 07:04:31,radio_0_opt_0,70
2023-11-01 08:34:00,radio_0_opt_0,70
2023-11-01 08:46:25,radio_0_opt_0,70
2023-11-01 09:40:35,radio_0_opt_0,70
2023-11-01 12:41:58,radio_0_opt_0,70
2023-11-01 12:55:09,radio_0_opt_0,70
2023-11-02 11:36:37,radio_0_opt_0,70
2023-11-24 10:26:24,radio_0_opt_3,70
2023-12-11 22:49:19,radio_0_opt_0,70
2023-12-11 22:49:29,radio_0_opt_1,70
2023-12-11 22:55:56,radio_0_opt_1,70
2023-12-11 23:04:27,radio_0_opt_1,70
2023-12-11 23:04:39,radio_0_opt_1,70
2023-12-11 23:14:58,radio_0_opt_1,70
2023-12-11 23:21:44,radio_0_opt_1,70
2023-12-11 23:22:05,radio_0_opt_1,70
