datetime,co2,temperature,humidity,closed
2023-11-01 00:03:11,1061.0,22.3,51.56,
2023-11-01 00:09:47,,,,True
2023-11-01 00:09:53,,,,True
2023-11-01 00:13:17,1018.0,22.3,51.56,
2023-11-01 00:23:23,1042.0,22.3,51.56,
2023-11-01 00:33:30,992.0,22.3,51.56,
2023-11-01 00:39:46,,,,True
2023-11-01 00:39:52,,,,True
2023-11-01 00:43:36,1037.0,22.3,51.56,
2023-11-01 00:53:43,1026.0,22.3,51.56,
2023-11-01 01:03:49,1034.0,22.3,51.56,
2023-11-01 01:09:46,,,,True
2023-11-01 01:09:52,,,,True
2023-11-01 01:13:55,1032.0,22.3,51.56,
2023-11-01 01:24:02,998.0,22.3,51.56,
2023-11-01 01:34:08,951.0,22.3,51.56,
2023-11-01 01:39:46,,,,True
2023-11-01 01:39:52,,,,True
2023-11-01 01:44:14,1060.0,22.3,51.56,
2023-11-01 01:54:21,971.0,22.3,51.56,
2023-11-01 02:04:27,1007.0,22.3,51.56,
2023-11-01 02:09:46,,,,True
2023-11-01 02:09:52,,,,True
2023-11-01 02:14:32,965.0,22.3,51.56,
2023-11-01 02:24:39,981.0,22.3,51.56,
2023-11-01 02:34:45,988.0,22.3,51.56,
2023-11-01 02:39:46,,,,True
2023-11-01 02:39:52,,,,True
2023-11-01 02:44:52,982.0,22.3,51.56,
2023-11-01 02:54:58,988.0,22.3,51.56,
2023-11-01 03:05:04,947.0,22.3,51.56,
2023-11-01 03:09:46,,,,True
2023-11-01 03:09:52,,,,True
2023-11-01 03:15:11,947.0,22.3,51.56,
2023-11-01 03:25:17,942.0,22.3,51.56,
2023-11-01 03:35:24,916.0,22.3,51.56,
2023-11-01 03:39:45,,,,True
2023-11-01 03:39:51,,,,True
2023-11-01 03:45:30,961.0,22.3,51.56,
2023-11-01 03:55:36,927.0,22.3,51.17,
2023-11-01 04:05:43,918.0,22.3,51.17,
2023-11-01 04:09:45,,,,True
2023-11-01 04:09:51,,,,True
2023-11-01 04:15:45,900.0,22.3,51.17,
2023-11-01 04:25:48,935.0,22.3,51.56,
2023-11-01 04:35:38,943.0,22.2,51.17,
2023-11-01 04:39:45,,,,True
2023-11-01 04:39:51,,,,True
2023-11-01 04:45:28,943.0,22.2,51.17,
2023-11-01 04:55:43,903.0,22.3,51.17,
2023-11-01 05:06:03,916.0,22.3,51.17,
2023-11-01 05:09:45,,,,True
2023-11-01 05:09:51,,,,True
2023-11-01 05:16:23,894.0,22.3,51.17,
2023-11-01 05:26:27,891.0,22.2,51.17,
2023-11-01 05:36:33,895.0,22.2,51.17,
2023-11-01 05:39:51,,,,True
2023-11-01 05:46:40,918.0,22.2,51.17,
2023-11-01 05:56:46,886.0,22.2,51.17,
2023-11-01 06:06:53,886.0,22.2,51.17,
2023-11-01 06:09:45,,,,True
2023-11-01 06:09:51,,,,True
2023-11-01 06:16:58,888.0,22.2,51.17,
2023-11-01 06:27:04,853.0,22.2,51.17,
2023-11-01 06:37:11,888.0,22.2,51.17,
2023-11-01 06:39:45,,,,True
2023-11-01 06:39:51,,,,True
2023-11-01 06:47:13,818.0,22.2,50.78,
2023-11-01 06:57:16,867.0,22.2,50.78,
2023-11-01 07:07:18,850.0,22.2,50.78,
2023-11-01 07:09:44,,,,True
2023-11-01 07:09:50,,,,True
2023-11-01 07:17:20,868.0,22.2,50.78,
2023-11-01 07:27:23,785.0,22.2,50.78,
2023-11-01 07:37:25,804.0,22.2,50.78,
2023-11-01 07:39:44,,,,True
2023-11-01 07:39:50,,,,True
2023-11-01 07:47:12,834.0,22.2,50.78,
2023-11-01 07:57:30,850.0,22.2,50.78,
2023-11-01 08:07:32,851.0,22.2,50.78,
2023-11-01 08:09:44,,,,True
2023-11-01 08:09:50,,,,True
2023-11-01 08:17:35,848.0,22.2,50.78,
2023-11-01 08:27:37,844.0,22.2,50.78,
2023-11-01 08:37:39,882.0,22.2,50.78,
2023-11-01 08:39:44,,,,True
2023-11-01 08:39:50,,,,True
2023-11-01 08:47:42,862.0,22.2,50.78,
2023-11-01 08:57:44,831.0,22.2,50.78,
2023-11-01 09:07:47,834.0,22.2,50.78,
2023-11-01 09:09:44,,,,True
2023-11-01 09:09:50,,,,True
2023-11-01 09:17:49,825.0,22.2,50.78,
2023-11-01 09:27:51,810.0,22.2,50.78,
2023-11-01 09:37:54,867.0,22.2,50.78,
2023-11-01 09:39:44,,,,True
2023-11-01 09:39:50,,,,True
2023-11-01 09:47:56,845.0,22.2,50.78,
2023-11-01 09:57:59,827.0,22.2,50.78,
2023-11-01 10:08:01,818.0,22.2,50.78,
2023-11-01 10:09:44,,,,True
2023-11-01 10:09:50,,,,True
2023-11-01 10:18:02,819.0,22.2,50.78,
2023-11-01 10:28:05,799.0,22.2,50.78,
2023-11-01 10:38:07,818.0,22.2,50.78,
2023-11-01 10:39:43,,,,True
2023-11-01 10:39:49,,,,True
2023-11-01 10:48:09,882.0,22.2,50.78,
2023-11-01 10:58:12,825.0,22.2,50.78,
2023-11-01 11:08:14,836.0,22.2,50.78,
2023-11-01 11:09:43,,,,True
2023-11-01 11:09:49,,,,True
2023-11-01 11:17:45,836.0,22.2,50.78,
2023-11-01 11:27:55,848.0,22.2,50.78,
2023-11-01 11:38:11,802.0,22.2,50.78,
2023-11-01 11:39:43,,,,True
2023-11-01 11:39:49,,,,True
2023-11-01 11:48:27,814.0,22.2,50.39,
2023-11-01 11:58:27,821.0,22.2,50.39,
2023-11-01 12:08:30,868.0,22.2,50.39,
2023-11-01 12:09:43,,,,True
2023-11-01 12:09:49,,,,True
2023-11-01 12:18:16,828.0,22.2,50.39,
2023-11-01 12:28:34,831.0,22.2,50.39,
