datetime,closed,co2,temperature,humidity
2023-11-01 13:47:10,,1299.0,22.5,51.17
2023-11-01 13:57:16,,1457.0,22.6,48.44
2023-11-01 14:00:56,True,,,
2023-11-01 14:01:02,True,,,
2023-11-01 14:07:23,,1408.0,22.8,48.05
2023-11-01 14:17:29,,1450.0,22.9,48.05
2023-11-01 14:27:24,,1609.0,22.8,48.44
2023-11-01 14:30:56,True,,,
2023-11-01 14:31:02,True,,,
2023-11-01 14:37:42,,1588.0,22.9,49.22
2023-11-01 14:47:45,,1788.0,22.9,49.61
2023-11-01 14:57:51,,1930.0,22.9,50.39
2023-11-01 15:00:56,True,,,
2023-11-01 15:01:02,True,,,
2023-11-01 15:07:57,,1925.0,22.9,50.78
2023-11-01 15:18:04,,1571.0,23.0,48.05
2023-11-01 15:28:10,,1580.0,23.0,47.27
2023-11-01 15:30:56,True,,,
2023-11-01 15:31:02,True,,,
2023-11-01 15:38:17,,1689.0,23.2,47.66
2023-11-01 15:48:23,,1533.0,23.1,48.05
2023-11-01 15:58:29,,1585.0,23.0,48.05
2023-11-01 16:00:55,True,,,
2023-11-01 16:01:01,True,,,
2023-11-01 16:08:36,,1508.0,23.0,48.44
2023-11-01 16:18:42,,1506.0,23.0,48.44
2023-11-01 16:28:47,,1472.0,23.0,47.66
2023-11-01 16:30:55,True,,,
2023-11-01 16:31:01,True,,,
2023-11-01 16:38:54,,1542.0,23.0,47.66
2023-11-01 16:49:00,,1526.0,23.2,47.66
2023-11-01 16:59:07,,1567.0,23.2,47.66
2023-11-01 17:00:55,True,,,
2023-11-01 17:01:01,True,,,
2023-11-01 17:09:17,,1403.0,23.3,47.27
2023-11-01 17:19:19,,1351.0,23.4,46.88
2023-11-01 17:29:26,,1307.0,23.4,46.48
2023-11-01 17:30:55,True,,,
2023-11-01 17:31:01,True,,,
2023-11-01 17:35:14,False,,,
2023-11-01 17:35:19,True,,,
2023-11-01 17:39:32,,1386.0,23.4,46.88
2023-11-01 17:49:39,,1345.0,23.4,46.88
2023-11-01 17:59:13,,1345.0,23.4,46.88
2023-11-01 18:00:55,True,,,
2023-11-01 18:01:01,True,,,
2023-11-01 18:09:27,,1317.0,23.2,47.27
2023-11-01 18:19:48,,1312.0,23.1,47.66
