datetime,motor_position,motor_range,trv_temperature,target_temperature,closed,co2,temperature,humidity
2023-11-01 00:00:10,,,,,,1260.0,22.1,54.69
2023-11-01 00:02:33,580.0,580.0,26.1,6.0,,,,
2023-11-01 00:05:49,,,,,True,,,
2023-11-01 00:05:55,,,,,True,,,
2023-11-01 00:10:17,,,,,,1214.0,22.1,54.69
2023-11-01 00:12:34,580.0,580.0,26.1,6.0,,,,
2023-11-01 00:20:22,,,,,,1221.0,22.1,54.69
2023-11-01 00:22:35,580.0,580.0,26.1,6.0,,,,
2023-11-01 00:30:28,,,,,,1187.0,22.1,54.69
2023-11-01 00:32:36,580.0,580.0,26.1,6.0,,,,
2023-11-01 00:35:49,,,,,True,,,
2023-11-01 00:35:55,,,,,True,,,
2023-11-01 00:40:19,,,,,,1210.0,22.1,54.3
2023-11-01 00:42:37,580.0,580.0,26.1,6.0,,,,
2023-11-01 00:50:41,,,,,,1214.0,22.1,54.3
2023-11-01 00:52:38,580.0,580.0,26.1,6.0,,,,
2023-11-01 01:00:48,,,,,,1233.0,22.1,54.3
2023-11-01 01:02:39,580.0,580.0,26.1,6.0,,,,
2023-11-01 01:05:49,,,,,True,,,
2023-11-01 01:05:55,,,,,True,,,
2023-11-01 01:10:54,,,,,,1196.0,22.1,54.3
2023-11-01 01:12:40,580.0,580.0,26.1,6.0,,,,
2023-11-01 01:21:00,,,,,,1228.0,22.1,54.3
2023-11-01 01:22:41,580.0,580.0,26.1,6.0,,,,
2023-11-01 01:31:07,,,,,,1222.0,22.1,54.3
2023-11-01 01:32:42,580.0,580.0,26.1,6.0,,,,
2023-11-01 01:35:49,,,,,True,,,
2023-11-01 01:35:54,,,,,True,,,
2023-11-01 01:41:13,,,,,,1226.0,22.1,54.3
2023-11-01 01:42:43,580.0,580.0,26.1,6.0,,,,
2023-11-01 01:51:20,,,,,,1163.0,22.1,54.3
2023-11-01 01:52:44,580.0,580.0,26.1,6.0,,,,
2023-11-01 02:01:26,,,,,,1201.0,22.1,54.3
2023-11-01 02:02:45,580.0,580.0,26.1,6.0,,,,
2023-11-01 02:05:48,,,,,True,,,
2023-11-01 02:05:54,,,,,True,,,
2023-11-01 02:11:32,,,,,,1161.0,22.1,54.3
