datetime,value,userId
2023-11-17 14:15:27,radio_0_opt_1,94
2023-11-17 14:15:35,radio_0_opt_0,94
2023-11-21 14:52:54,radio_0_opt_2,94
2023-11-21 15:28:45,radio_0_opt_1,94
2023-11-21 15:28:53,radio_0_opt_1,94
2023-11-22 11:34:05,radio_0_opt_2,94
2023-12-01 13:25:18,radio_0_opt_3,94
2023-12-04 11:22:11,radio_0_opt_4,94
2023-12-04 12:47:26,radio_0_opt_4,94
2023-12-04 12:47:31,radio_0_opt_4,94
2023-12-04 12:47:32,radio_0_opt_4,94
2023-12-04 12:47:46,radio_0_opt_4,94
2023-12-04 12:47:46,radio_0_opt_4,94
2023-12-04 12:47:50,radio_0_opt_4,94
2023-12-04 12:47:51,radio_0_opt_4,94
2023-12-04 12:47:51,radio_0_opt_4,94
2023-12-04 12:47:51,radio_0_opt_4,94
2023-12-04 12:47:52,radio_0_opt_4,94
2023-12-07 17:47:17,radio_0_opt_2,94
2023-12-13 17:52:28,radio_0_opt_2,94
2023-12-14 10:50:53,radio_0_opt_3,94
2024-01-15 15:47:37,radio_0_opt_4,94
2024-01-17 13:15:41,radio_0_opt_2,94
2024-01-18 14:41:00,radio_0_opt_3,94
2024-01-22 15:44:00,radio_0_opt_3,94
2024-01-22 15:59:02,radio_0_opt_3,94
2024-01-22 15:59:16,radio_0_opt_3,94
2024-01-22 17:34:27,radio_0_opt_3,94
2024-01-23 14:47:21,radio_0_opt_2,94
2024-01-23 16:32:02,radio_0_opt_3,94
2024-01-25 14:51:27,radio_0_opt_2,94
2024-01-25 15:16:59,radio_0_opt_2,94
2024-01-26 13:07:27,radio_0_opt_1,94
2024-01-26 13:07:37,radio_0_opt_1,94
2024-01-26 16:49:44,radio_0_opt_1,94
2024-01-29 11:03:36,radio_0_opt_3,94
2024-01-29 14:46:03,radio_0_opt_3,94
2024-01-29 15:37:02,radio_0_opt_2,94
2024-01-29 18:26:32,radio_0_opt_2,94
2024-01-30 13:26:45,radio_0_opt_2,94
2024-01-31 10:42:38,radio_0_opt_1,94
2024-01-31 12:07:41,radio_0_opt_2,94
2024-01-31 14:25:43,radio_0_opt_2,94
2024-02-01 11:59:08,radio_0_opt_2,94
2024-02-01 15:19:51,radio_0_opt_1,94
2024-02-02 16:52:49,radio_0_opt_2,94
2024-02-03 17:25:20,radio_0_opt_2,94
2024-02-05 09:38:27,radio_0_opt_2,94
2024-02-05 16:50:58,radio_0_opt_1,94
2024-02-06 11:31:43,radio_0_opt_2,94
2024-02-06 13:39:48,radio_0_opt_1,94
2024-02-06 17:23:05,radio_0_opt_1,94
