datetime,value,userId
2023-11-06 17:01:28,radio_0_opt_2,70
2023-11-06 17:07:34,radio_0_opt_2,70
2023-11-06 17:12:28,radio_0_opt_2,70
2023-11-06 17:27:47,radio_0_opt_1,70
