order,state,s_prev,s_curr,mu,sigma,phi_1,phi_2
1,1,,1,400.0,10.76541519165039,0.7027095556259155,-0.07805216312408447
1,2,,2,525.6303100585938,72.08272552490234,0.5941261053085327,-0.21088409423828125
1,3,,3,716.015380859375,16.157712936401367,0.9595959186553955,0.05647921562194824
1,4,,4,1299.6602783203125,97.6031494140625,0.9996914863586426,-0.2092990279197693
