order,state,s_prev,s_curr,mu,sigma
1,1,,1,400.0,21.74820327758789
1,2,,2,535.6842041015625,76.57331848144531
1,3,,3,889.9284057617188,110.98080444335938
1,4,,4,1306.483642578125,197.41006469726562
