order,state,s_prev,s_curr,mu,sigma,phi_1,phi_2
2,1,1,1,400.0,7.81796932220459,0.7825261354446411,-0.09599244594573975
2,2,1,2,437.5205383300781,38.28264617919922,-0.27965009212493896,0.16966593265533447
2,3,1,3,570.63134765625,6.011711120605469,0.9284837245941162,-0.0005547404289245605
2,4,1,4,1436.3370361328125,174.1762237548828,1.0,-0.12286406755447388
2,5,2,1,400.0,12.80942153930664,0.43201184272766113,-0.12317204475402832
2,6,2,2,437.5205383300781,16.359310150146484,0.566450834274292,-0.07672631740570068
2,7,2,3,570.63134765625,98.40177917480469,-0.16899162530899048,0.4549065828323364
2,8,2,4,1436.3370361328125,94.02592468261719,0.9203838109970093,-0.07041281461715698
2,9,3,1,400.0,6.407042503356934,1.0,-0.0029968619346618652
2,10,3,2,437.5205383300781,67.87938690185547,0.7220792770385742,-0.1644842028617859
2,11,3,3,570.63134765625,2.5241697585443035e-05,0.9594224691390991,0.032745957374572754
2,12,3,4,1436.3370361328125,40.13447570800781,0.9998486042022705,0.0016651153564453125
2,13,4,1,400.0,126.46907043457031,1.0,0.052355170249938965
2,14,4,2,437.5205383300781,113.35014343261719,1.0,-0.1702214479446411
2,15,4,3,570.63134765625,31.588642120361328,0.999744176864624,0.04690051078796387
2,16,4,4,1436.3370361328125,56.35110855102539,0.9458085298538208,-0.17076432704925537
