from_state,to_state,beta_1,beta_2
1,2,1.4190200471016967,0.37810314583374816
1,3,-88.40372613348855,-41.35590954334644
1,4,0.9306429222272645,0.20402923176332527
2,1,0.8151982275043318,-0.9373668493619031
2,3,1.0563532556077213,1.3934291064610955
2,4,-0.29021365340131644,0.2870933832039984
3,1,0.7660179523179806,-0.15536180933377874
3,2,0.04130522543507443,-0.6700639249716818
3,4,4.486200885957007,1.8642603836538783
4,1,-0.6166921379911203,0.11258832638042787
4,2,0.7083732395992057,0.149639040886109
4,3,-6.164957993214876,2.3431117877007708
