from_state,to_state,beta_1,beta_2
1,2,0.22979433834552765,0.8889235258102417
1,3,39.57671356201172,-26.1219425201416
1,4,9.511383056640625,3.264772891998291
2,1,1.277721643447876,-0.9639449119567871
2,3,-0.32802969217300415,-0.24540627002716064
2,4,0.6582679152488708,1.6776695251464844
3,1,-76.98258972167969,16.484346389770508
3,2,-0.6995717287063599,0.7267848253250122
3,4,2.399693012237549,2.0915417671203613
4,1,-2.371872663497925,-5.065066814422607
4,2,-34.492347717285156,-77.95417785644531
4,3,-1.897560954093933,0.48508211970329285
