from_state,to_state,beta_1,beta_2
1,2,0.8185698986053467,2.404686212539673
1,3,31.351613998413086,3.2003262042999268
1,4,0.8770470023155212,4.247612476348877
2,1,-0.17814214527606964,0.19022628664970398
2,3,1.9664238691329956,2.653351068496704
2,4,0.38378602266311646,1.6637320518493652
3,1,-31.50473403930664,-5.366404056549072
3,2,-0.7679950594902039,0.6253154873847961
3,4,2.558945655822754,1.1319003105163574
4,1,-1.2410027980804443,-5.807033538818359
4,2,-11.217952728271484,-32.304630279541016
4,3,-9.053693771362305,6.175954341888428
